,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
19320837,19320837,2021-08-15 19:16:03.186141+00:00,x,y,2021-09-02 13:00:00+00:00,2021-09-02 15:00:00+00:00,alpha,True,20.0,1,a-9,19320837,7524.0
14494307,14494307,2021-07-15 01:18:21.212430+00:00,x,y,2021-07-17 16:00:00+00:00,2021-07-17 18:00:00+00:00,alpha,True,15.0,1,a-23,14494307,12945.0
17960015,17960015,2021-08-09 13:32:40.914948+00:00,x,y,2021-08-11 10:00:00+00:00,2021-08-11 12:00:00+00:00,alpha,True,20.0,1,a-7,17960015,7524.0
12696717,12696717,2021-07-04 09:25:31.261018+00:00,x,y,2021-07-17 09:45:00+00:00,2021-07-17 11:45:00+00:00,gamma,True,20.0,2,c-2,12696717,13560.0
5854327,5854327,2021-04-30 08:32:24.940526+00:00,x,y,2021-05-10 11:00:00+00:00,2021-05-10 12:55:00+00:00,beta,True,40.0,0,b-69,5854327,9737.0
1106117,1106117,2021-01-31 17:31:29.550534+00:00,x,y,2021-02-08 16:00:00+00:00,2021-02-08 18:10:00+00:00,alpha,True,20.0,1,a-7,1106117,9799.0
13201135,13201135,2021-07-06 19:12:35.550044+00:00,x,y,2021-07-18 17:00:00+00:00,2021-07-18 18:59:00+00:00,gamma,True,20.0,2,c-6,13201135,12800.0
14538192,14538192,2021-07-15 09:31:30.182691+00:00,x,y,2021-08-15 17:00:00+00:00,2021-08-15 18:59:00+00:00,gamma,True,20.0,1,c-6,14538192,12560.0
6775933,6775933,2021-05-14 11:40:30.295398+00:00,x,y,2021-05-26 11:00:00+00:00,2021-05-26 12:55:00+00:00,beta,True,20.0,0,b-69,6775933,6744.0
10107935,10107935,2021-06-16 13:54:20.510365+00:00,x,y,2021-06-22 04:00:00+00:00,2021-06-22 06:00:00+00:00,alpha,True,15.0,1,a-1,10107935,6531.0
2411121,2411121,2021-03-01 15:26:42.587385+00:00,x,y,2021-03-11 16:00:00+00:00,2021-03-11 18:10:00+00:00,alpha,True,35.0,1,a-7,2411121,8027.0
4925834,4925834,2021-04-20 00:22:06.966753+00:00,x,y,2021-04-23 15:30:00+00:00,2021-04-23 17:30:00+00:00,alpha,True,35.0,1,a-7,4925834,5495.0
13730737,13730737,2021-07-10 01:46:42.919987+00:00,x,y,2021-08-30 09:45:00+00:00,2021-08-30 11:45:00+00:00,gamma,True,20.0,1,c-2,13730737,12560.0
10406638,10406638,2021-06-19 05:52:31.342926+00:00,x,y,2021-07-15 14:00:00+00:00,2021-07-15 16:00:00+00:00,gamma,True,20.0,2,c-4,10406638,8765.0
4843740,4843740,2021-04-19 13:48:28.619133+00:00,x,y,2021-05-11 17:00:00+00:00,2021-05-11 18:59:00+00:00,gamma,True,20.0,1,c-6,4843740,8650.0
8307776,8307776,2021-05-31 23:22:26.658755+00:00,x,y,2021-06-14 17:00:00+00:00,2021-06-14 18:59:00+00:00,gamma,True,20.0,1,c-6,8307776,10900.0
6727727,6727727,2021-05-13 13:12:28.947368+00:00,x,y,2021-05-22 16:00:00+00:00,2021-05-22 18:00:00+00:00,alpha,True,15.0,1,a-7,6727727,6495.0
1243247,1243247,2021-02-03 20:18:40.646888+00:00,x,y,2021-02-07 13:00:00+00:00,2021-02-07 15:00:00+00:00,alpha,True,0.0,0,a-5,1243247,10227.0
14403635,14403635,2021-07-14 10:43:20.492945+00:00,x,y,2021-07-16 14:00:00+00:00,2021-07-16 16:00:00+00:00,gamma,True,20.0,1,c-4,14403635,15075.0
11067472,11067472,2021-06-24 12:11:35.473757+00:00,x,y,2021-08-10 09:45:00+00:00,2021-08-10 11:45:00+00:00,gamma,True,20.0,2,c-2,11067472,8765.0
8795138,8795138,2021-06-05 10:16:24.350980+00:00,x,y,2021-07-22 04:00:00+00:00,2021-07-22 06:00:00+00:00,alpha,True,35.0,1,a-1,8795138,9707.0
18586164,18586164,2021-08-12 03:17:19.595122+00:00,x,y,2021-08-16 17:00:00+00:00,2021-08-16 18:59:00+00:00,gamma,True,20.0,2,c-6,18586164,7870.0
7994090,7994090,2021-05-29 04:35:55.676706+00:00,x,y,2021-05-31 11:00:00+00:00,2021-05-31 13:00:00+00:00,gamma,True,20.0,1,c-4,7994090,8025.0
15765408,15765408,2021-07-24 20:01:55.164263+00:00,x,y,2021-07-25 04:00:00+00:00,2021-07-25 06:00:00+00:00,alpha,True,35.0,1,a-1,15765408,25345.0
1170815,1170815,2021-02-02 08:38:01.297005+00:00,x,y,2021-02-10 17:00:00+00:00,2021-02-10 18:59:00+00:00,gamma,True,0.0,0,c-6,1170815,8525.0
16849466,16849466,2021-08-02 08:49:32.627577+00:00,x,y,2021-08-09 10:00:00+00:00,2021-08-09 12:00:00+00:00,gamma,True,20.0,2,c-2,16849466,8765.0
15087248,15087248,2021-07-19 12:32:03.509104+00:00,x,y,2021-07-23 17:00:00+00:00,2021-07-23 18:59:00+00:00,gamma,True,20.0,1,c-6,15087248,7245.0
17227720,17227720,2021-08-05 12:06:33.475644+00:00,x,y,2021-08-14 05:00:00+00:00,2021-08-14 06:55:00+00:00,beta,True,20.0,0,b-1,17227720,7370.0
2665354,2665354,2021-03-05 13:27:57.831137+00:00,x,y,2021-03-21 16:00:00+00:00,2021-03-21 17:55:00+00:00,beta,True,20.0,0,b-19,2665354,6902.0
8516399,8516399,2021-06-02 17:09:41.732362+00:00,x,y,2021-06-30 17:00:00+00:00,2021-06-30 18:59:00+00:00,gamma,True,20.0,1,c-6,8516399,10900.0
9050252,9050252,2021-06-08 00:57:12.415387+00:00,x,y,2021-07-15 04:00:00+00:00,2021-07-15 06:00:00+00:00,alpha,True,15.0,1,a-1,9050252,9403.0
11059524,11059524,2021-06-24 11:10:25.474479+00:00,x,y,2021-06-25 09:45:00+00:00,2021-06-25 11:45:00+00:00,gamma,True,20.0,2,c-2,11059524,18090.0
17929817,17929817,2021-08-09 11:05:54.468621+00:00,x,y,2021-08-20 04:40:00+00:00,2021-08-20 06:40:00+00:00,omega,True,20.0,1,d-1,17929817,9000.0
15352815,15352815,2021-07-21 20:53:00.876096+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,alpha,True,35.0,1,a-7,15352815,22445.0
9755422,9755422,2021-06-13 20:14:53.121776+00:00,x,y,2021-06-14 09:45:00+00:00,2021-06-14 11:45:00+00:00,gamma,True,20.0,2,c-2,9755422,7900.0
14400008,14400008,2021-07-14 10:19:58.271472+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,True,15.0,1,a-5,14400008,11245.0
300870,300870,2021-01-09 06:46:06.745800+00:00,x,y,2021-02-03 05:00:00+00:00,2021-02-03 07:00:00+00:00,gamma,True,32.0,1,c-2,300870,9150.0
1342318,1342318,2021-02-06 11:21:08.626776+00:00,x,y,2021-02-14 16:00:00+00:00,2021-02-14 18:10:00+00:00,alpha,True,0.0,0,a-7,1342318,8739.0
12534536,12534536,2021-07-03 12:08:32.585458+00:00,x,y,2021-07-05 07:00:00+00:00,2021-07-05 09:00:00+00:00,alpha,True,35.0,1,a-5,12534536,14645.0
11415461,11415461,2021-06-26 22:40:31.883289+00:00,x,y,2021-06-27 13:00:00+00:00,2021-06-27 15:00:00+00:00,alpha,True,35.0,1,a-9,11415461,23567.0
8932890,8932890,2021-06-06 19:43:53.091595+00:00,x,y,2021-07-26 10:00:00+00:00,2021-07-26 12:00:00+00:00,alpha,True,35.0,1,a-7,8932890,9707.0
11766921,11766921,2021-06-29 07:53:52.539532+00:00,x,y,2021-07-08 11:00:00+00:00,2021-07-08 12:55:00+00:00,beta,True,40.0,0,b-69,11766921,10692.0
10863144,10863144,2021-06-22 19:21:29.397179+00:00,x,y,2021-06-28 16:00:00+00:00,2021-06-28 18:00:00+00:00,alpha,True,35.0,1,a-23,10863144,7124.0
6477873,6477873,2021-05-09 11:08:10.943592+00:00,x,y,2021-05-29 13:00:00+00:00,2021-05-29 15:00:00+00:00,alpha,True,15.0,1,a-5,6477873,7796.0
4259606,4259606,2021-04-04 20:54:25.620285+00:00,x,y,2021-04-27 05:00:00+00:00,2021-04-27 07:00:00+00:00,alpha,True,35.0,1,a-1,4259606,9602.0
12062511,12062511,2021-06-30 20:21:28.901652+00:00,x,y,2021-07-07 09:45:00+00:00,2021-07-07 11:45:00+00:00,gamma,True,20.0,1,c-2,12062511,11545.0
11949364,11949364,2021-06-30 09:05:44.890875+00:00,x,y,2021-07-02 16:00:00+00:00,2021-07-02 18:00:00+00:00,alpha,True,15.0,1,a-23,11949364,11807.0
3404346,3404346,2021-03-17 06:30:39.117003+00:00,x,y,2021-03-29 11:00:00+00:00,2021-03-29 12:55:00+00:00,beta,True,20.0,0,b-69,3404346,9041.0
15954519,15954519,2021-07-26 06:48:45.228294+00:00,x,y,2021-08-15 14:00:00+00:00,2021-08-15 15:55:00+00:00,beta,True,40.0,0,b-9,15954519,10990.0
1699919,1699919,2021-02-15 06:29:33.181663+00:00,x,y,2021-03-07 05:00:00+00:00,2021-03-07 07:00:00+00:00,gamma,True,32.0,1,c-2,1699919,12500.0
16618140,16618140,2021-07-31 07:56:24.143792+00:00,x,y,2021-08-13 17:00:00+00:00,2021-08-13 18:59:00+00:00,gamma,True,20.0,1,c-6,16618140,7765.0
10468196,10468196,2021-06-19 15:15:53.789726+00:00,x,y,2021-06-24 13:00:00+00:00,2021-06-24 15:00:00+00:00,alpha,True,35.0,1,a-9,10468196,7900.0
3901003,3901003,2021-03-27 04:22:45.763222+00:00,x,y,2021-03-29 17:00:00+00:00,2021-03-29 18:59:00+00:00,gamma,True,20.0,1,c-6,3901003,9800.0
2448907,2448907,2021-03-02 07:11:17.137101+00:00,x,y,2021-03-03 05:00:00+00:00,2021-03-03 06:55:00+00:00,beta,True,20.0,0,b-1,2448907,6954.0
8645980,8645980,2021-06-03 21:31:39.642246+00:00,x,y,2021-06-20 05:00:00+00:00,2021-06-20 06:55:00+00:00,beta,True,20.0,0,b-1,8645980,10067.0
566428,566428,2021-01-17 08:23:25.706674+00:00,x,y,2021-01-24 16:00:00+00:00,2021-01-24 18:10:00+00:00,alpha,True,0.0,0,a-7,566428,8739.0
20423827,20423827,2021-08-22 07:40:31.693156+00:00,x,y,2021-08-28 14:00:00+00:00,2021-08-28 15:55:00+00:00,beta,True,40.0,0,b-9,20423827,13340.0
6656377,6656377,2021-05-12 00:32:05.409068+00:00,x,y,2021-05-24 05:00:00+00:00,2021-05-24 06:55:00+00:00,beta,True,20.0,0,b-1,6656377,6723.0
2044480,2044480,2021-02-23 05:03:22.565919+00:00,x,y,2021-02-28 05:00:00+00:00,2021-02-28 07:00:00+00:00,gamma,True,20.0,1,c-2,2044480,12500.0
19190245,19190245,2021-08-15 06:26:31.356230+00:00,x,y,2021-08-15 17:05:00+00:00,2021-08-15 19:05:00+00:00,omega,True,20.0,1,d-5,19190245,22300.0
17073603,17073603,2021-08-04 09:10:21.619739+00:00,x,y,2021-08-21 10:00:00+00:00,2021-08-21 12:00:00+00:00,gamma,True,20.0,2,c-2,17073603,9750.0
4887006,4887006,2021-04-19 18:24:17.650958+00:00,x,y,2021-05-29 05:00:00+00:00,2021-05-29 07:00:00+00:00,alpha,True,15.0,1,a-1,4887006,7796.0
6204460,6204460,2021-05-05 07:43:20.818257+00:00,x,y,2021-05-06 11:00:00+00:00,2021-05-06 13:00:00+00:00,gamma,True,20.0,1,c-4,6204460,7390.0
3166045,3166045,2021-03-13 07:09:21.630425+00:00,x,y,2021-04-12 05:00:00+00:00,2021-04-12 07:00:00+00:00,alpha,True,15.0,1,a-1,3166045,9798.0
15435770,15435770,2021-07-22 13:39:20.835053+00:00,x,y,2021-07-27 10:00:00+00:00,2021-07-27 12:00:00+00:00,gamma,True,20.0,1,c-2,15435770,11300.0
8630239,8630239,2021-06-03 18:21:42.995675+00:00,x,y,2021-06-21 17:00:00+00:00,2021-06-21 18:59:00+00:00,gamma,True,20.0,1,c-6,8630239,10900.0
18635580,18635580,2021-08-12 09:14:24.676362+00:00,x,y,2021-08-21 07:00:00+00:00,2021-08-21 09:00:00+00:00,alpha,True,20.0,1,a-5,18635580,14645.0
20355601,20355601,2021-08-21 17:14:54.326057+00:00,x,y,2021-08-30 17:00:00+00:00,2021-08-30 18:59:00+00:00,gamma,True,20.0,1,c-6,20355601,7765.0
11133797,11133797,2021-06-24 21:02:13.307191+00:00,x,y,2021-06-29 11:00:00+00:00,2021-06-29 12:55:00+00:00,beta,True,20.0,0,b-69,11133797,7222.0
21238753,21238753,2021-08-27 16:32:37.578411+00:00,x,y,2021-09-08 08:00:00+00:00,2021-09-08 09:55:00+00:00,beta,True,20.0,0,b-67,21238753,7280.0
3063436,3063436,2021-03-11 16:17:43.226677+00:00,x,y,2021-03-22 15:30:00+00:00,2021-03-22 17:30:00+00:00,alpha,True,35.0,1,a-7,3063436,10799.0
2236538,2236538,2021-02-27 08:34:42.704528+00:00,x,y,2021-03-17 16:00:00+00:00,2021-03-17 17:55:00+00:00,beta,True,20.0,0,b-19,2236538,11452.0
5451288,5451288,2021-04-24 17:42:43.471751+00:00,x,y,2021-05-11 13:30:00+00:00,2021-05-11 15:30:00+00:00,alpha,True,35.0,1,a-5,5451288,8605.0
13162328,13162328,2021-07-06 15:56:12.968791+00:00,x,y,2021-07-28 09:45:00+00:00,2021-07-28 11:45:00+00:00,gamma,True,20.0,1,c-2,13162328,10285.0
16115074,16115074,2021-07-27 07:48:33.678336+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 15:55:00+00:00,beta,True,40.0,0,b-9,16115074,15550.0
8428478,8428478,2021-06-01 21:57:53.294973+00:00,x,y,2021-06-06 11:00:00+00:00,2021-06-06 13:00:00+00:00,gamma,True,20.0,1,c-4,8428478,10900.0
7845448,7845448,2021-05-27 05:33:16.649426+00:00,x,y,2021-06-07 13:00:00+00:00,2021-06-07 15:00:00+00:00,alpha,True,15.0,1,a-5,7845448,7124.0
8330481,8330481,2021-06-01 06:29:17.484013+00:00,x,y,2021-06-08 07:00:00+00:00,2021-06-08 09:00:00+00:00,alpha,True,35.0,1,a-5,8330481,9707.0
4871810,4871810,2021-04-19 16:39:19.400189+00:00,x,y,2021-06-01 11:00:00+00:00,2021-06-01 12:55:00+00:00,beta,True,20.0,0,b-69,4871810,7382.0
11466909,11466909,2021-06-27 10:10:53.497439+00:00,x,y,2021-08-07 14:00:00+00:00,2021-08-07 16:00:00+00:00,gamma,True,20.0,2,c-4,11466909,8765.0
1511466,1511466,2021-02-10 17:57:15.221954+00:00,x,y,2021-02-18 05:00:00+00:00,2021-02-18 07:00:00+00:00,gamma,True,32.0,1,c-2,1511466,8650.0
7184390,7184390,2021-05-19 10:30:52.832103+00:00,x,y,2021-06-17 13:00:00+00:00,2021-06-17 15:00:00+00:00,alpha,True,15.0,1,a-5,7184390,6531.0
20191178,20191178,2021-08-20 15:38:37.479476+00:00,x,y,2021-08-31 10:35:00+00:00,2021-08-31 12:35:00+00:00,omega,True,20.0,1,d-3,20191178,6870.0
4911016,4911016,2021-04-19 21:40:29.929211+00:00,x,y,2021-04-26 05:00:00+00:00,2021-04-26 07:00:00+00:00,gamma,True,20.0,1,c-2,4911016,7390.0
1493846,1493846,2021-02-10 10:03:35.591423+00:00,x,y,2021-02-12 13:00:00+00:00,2021-02-12 15:00:00+00:00,alpha,True,0.0,0,a-5,1493846,8739.0
13108896,13108896,2021-07-06 10:48:37.886841+00:00,x,y,2021-08-05 05:00:00+00:00,2021-08-05 06:55:00+00:00,beta,True,40.0,0,b-1,13108896,8130.0
617396,617396,2021-01-18 17:14:33.199654+00:00,x,y,2021-03-16 11:00:00+00:00,2021-03-16 12:55:00+00:00,beta,True,20.0,0,b-69,617396,8697.0
2444514,2444514,2021-03-02 06:03:56.291257+00:00,x,y,2021-03-10 11:00:00+00:00,2021-03-10 13:00:00+00:00,gamma,True,20.0,1,c-4,2444514,7390.0
211943,211943,2021-01-06 13:01:27.342549+00:00,x,y,2021-01-25 13:00:00+00:00,2021-01-25 15:00:00+00:00,alpha,True,0.0,0,a-5,211943,8739.0
8436952,8436952,2021-06-02 03:34:51.436432+00:00,x,y,2021-06-05 16:00:00+00:00,2021-06-05 18:00:00+00:00,alpha,True,15.0,1,a-23,8436952,9403.0
6613488,6613488,2021-05-11 09:34:14.346422+00:00,x,y,2021-08-23 14:00:00+00:00,2021-08-23 15:55:00+00:00,beta,True,20.0,0,b-9,6613488,6723.0
12262694,12262694,2021-07-02 04:59:09.698076+00:00,x,y,2021-07-21 11:00:00+00:00,2021-07-21 12:55:00+00:00,beta,True,20.0,0,b-69,12262694,6720.0
3749468,3749468,2021-03-24 04:40:59.247088+00:00,x,y,2021-04-18 15:30:00+00:00,2021-04-18 17:30:00+00:00,alpha,True,15.0,1,a-7,3749468,9798.0
15595873,15595873,2021-07-23 14:17:09.377009+00:00,x,y,2021-08-08 10:00:00+00:00,2021-08-08 12:00:00+00:00,alpha,True,15.0,1,a-7,15595873,11245.0
6397294,6397294,2021-05-08 06:53:53.070735+00:00,x,y,2021-05-09 05:00:00+00:00,2021-05-09 07:00:00+00:00,gamma,True,20.0,2,c-2,6397294,8390.0
20685199,20685199,2021-08-23 20:28:21.908616+00:00,x,y,2021-09-01 17:00:00+00:00,2021-09-01 18:59:00+00:00,gamma,True,20.0,2,c-6,20685199,8500.0
8145628,8145628,2021-05-30 14:59:02.202210+00:00,x,y,2021-07-04 13:00:00+00:00,2021-07-04 15:00:00+00:00,alpha,True,15.0,1,a-5,8145628,9403.0
20411176,20411176,2021-08-22 05:43:56.998882+00:00,x,y,2021-08-28 17:00:00+00:00,2021-08-28 18:59:00+00:00,gamma,True,20.0,2,c-6,20411176,9750.0
10584679,10584679,2021-06-20 15:03:56.125414+00:00,x,y,2021-07-11 07:00:00+00:00,2021-07-11 09:00:00+00:00,alpha,True,35.0,1,a-5,10584679,11072.0
7516647,7516647,2021-05-22 20:43:24.110081+00:00,x,y,2021-05-26 10:00:00+00:00,2021-05-26 12:00:00+00:00,alpha,True,35.0,1,a-9,7516647,8027.0
14111821,14111821,2021-07-12 12:24:32.301826+00:00,x,y,2021-07-17 10:00:00+00:00,2021-07-17 12:00:00+00:00,alpha,True,15.0,1,a-7,14111821,14945.0
8699684,8699684,2021-06-04 11:13:48.724772+00:00,x,y,2021-06-07 16:00:00+00:00,2021-06-07 18:00:00+00:00,alpha,True,15.0,1,a-23,8699684,9707.0
3844003,3844003,2021-03-25 22:32:56.450791+00:00,x,y,2021-03-29 13:30:00+00:00,2021-03-29 15:30:00+00:00,alpha,True,15.0,1,a-5,3844003,9798.0
18896534,18896534,2021-08-13 13:59:52.459765+00:00,x,y,2021-08-27 10:00:00+00:00,2021-08-27 12:00:00+00:00,alpha,True,15.0,1,a-5,18896534,7524.0
17863463,17863463,2021-08-09 04:20:50.782319+00:00,x,y,2021-08-22 10:00:00+00:00,2021-08-22 12:00:00+00:00,alpha,True,15.0,1,a-7,17863463,12945.0
21058925,21058925,2021-08-26 11:07:05.264251+00:00,x,y,2021-08-27 11:00:00+00:00,2021-08-27 13:00:00+00:00,alpha,True,20.0,1,a-7,21058925,10545.0
2678347,2678347,2021-03-05 16:44:27.042872+00:00,x,y,2021-03-16 13:30:00+00:00,2021-03-16 15:30:00+00:00,alpha,True,35.0,1,a-5,2678347,8027.0
8221233,8221233,2021-05-31 08:14:27.399177+00:00,x,y,2021-06-04 13:00:00+00:00,2021-06-04 15:00:00+00:00,alpha,True,35.0,1,a-5,8221233,9707.0
16038917,16038917,2021-07-26 16:47:03.540352+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,gamma,True,20.0,2,c-2,16038917,18090.0
12084283,12084283,2021-07-01 03:11:32.790260+00:00,x,y,2021-07-25 14:00:00+00:00,2021-07-25 15:55:00+00:00,beta,True,40.0,0,b-9,12084283,15060.0
9374905,9374905,2021-06-11 06:48:47.926469+00:00,x,y,2021-07-03 07:00:00+00:00,2021-07-03 09:00:00+00:00,alpha,True,15.0,1,a-5,9374905,9403.0
7739729,7739729,2021-05-25 15:19:20.404292+00:00,x,y,2021-06-07 16:00:00+00:00,2021-06-07 18:00:00+00:00,alpha,True,35.0,1,a-7,7739729,7520.0
12161863,12161863,2021-07-01 11:51:40.557839+00:00,x,y,2021-07-24 16:00:00+00:00,2021-07-24 18:00:00+00:00,alpha,True,15.0,1,a-23,12161863,11245.0
7731794,7731794,2021-05-25 13:09:57.780212+00:00,x,y,2021-07-11 05:00:00+00:00,2021-07-11 07:00:00+00:00,gamma,True,20.0,1,c-2,7731794,10425.0
10348716,10348716,2021-06-18 15:36:21.381989+00:00,x,y,2021-07-30 07:00:00+00:00,2021-07-30 09:00:00+00:00,alpha,True,15.0,1,a-5,10348716,6531.0
19759710,19759710,2021-08-18 07:59:00.257528+00:00,x,y,2021-08-28 07:00:00+00:00,2021-08-28 09:00:00+00:00,alpha,True,15.0,1,a-5,19759710,7524.0
2602020,2602020,2021-03-04 13:31:26.339356+00:00,x,y,2021-03-05 13:30:00+00:00,2021-03-05 15:40:00+00:00,alpha,True,35.0,1,a-5,2602020,8027.0
2193484,2193484,2021-02-26 16:27:51.426980+00:00,x,y,2021-03-28 14:00:00+00:00,2021-03-28 15:55:00+00:00,beta,True,20.0,0,b-9,2193484,11473.0
13611701,13611701,2021-07-09 08:15:46.821961+00:00,x,y,2021-07-10 14:00:00+00:00,2021-07-10 16:00:00+00:00,gamma,True,20.0,1,c-4,13611701,15075.0
21233747,21233747,2021-08-27 15:45:59.275467+00:00,x,y,2021-09-25 07:00:00+00:00,2021-09-25 09:00:00+00:00,alpha,True,20.0,1,a-5,21233747,8381.0
1021953,1021953,2021-01-29 14:19:14.921693+00:00,x,y,2021-02-14 11:00:00+00:00,2021-02-14 12:55:00+00:00,beta,True,35.0,0,b-69,1021953,9553.0
10511183,10511183,2021-06-20 02:00:07.805601+00:00,x,y,2021-06-21 04:00:00+00:00,2021-06-21 06:00:00+00:00,alpha,True,35.0,1,a-1,10511183,7150.0
7354786,7354786,2021-05-21 06:12:38.137352+00:00,x,y,2021-05-31 11:00:00+00:00,2021-05-31 12:55:00+00:00,beta,True,20.0,0,b-69,7354786,7385.0
8847472,8847472,2021-06-05 20:33:34.313126+00:00,x,y,2021-06-09 10:00:00+00:00,2021-06-09 12:00:00+00:00,alpha,True,15.0,1,a-7,8847472,9707.0
1000430,1000430,2021-01-29 03:46:44.733196+00:00,x,y,2021-02-17 05:15:00+00:00,2021-02-17 07:25:00+00:00,alpha,True,0.0,0,a-1,1000430,8739.0
6035538,6035538,2021-05-02 20:14:19.000365+00:00,x,y,2021-05-05 05:00:00+00:00,2021-05-05 07:00:00+00:00,alpha,True,35.0,1,a-1,6035538,6995.0
13535618,13535618,2021-07-08 17:51:04.247056+00:00,x,y,2021-07-28 16:00:00+00:00,2021-07-28 18:00:00+00:00,alpha,True,15.0,1,a-23,13535618,11245.0
5834827,5834827,2021-04-30 00:04:23.509845+00:00,x,y,2021-05-07 17:00:00+00:00,2021-05-07 18:59:00+00:00,gamma,True,20.0,2,c-6,5834827,10655.0
10087619,10087619,2021-06-16 10:24:54.545508+00:00,x,y,2021-07-07 09:45:00+00:00,2021-07-07 11:45:00+00:00,gamma,True,20.0,1,c-2,10087619,6620.0
15980555,15980555,2021-07-26 09:44:26.663139+00:00,x,y,2021-07-28 07:00:00+00:00,2021-07-28 09:00:00+00:00,alpha,True,15.0,1,a-5,15980555,11245.0
16909382,16909382,2021-08-02 18:11:09.017177+00:00,x,y,2021-08-07 14:00:00+00:00,2021-08-07 15:55:00+00:00,beta,True,40.0,0,b-9,16909382,13190.0
4993984,4993984,2021-04-20 12:04:15.636091+00:00,x,y,2021-05-27 17:00:00+00:00,2021-05-27 18:59:00+00:00,gamma,True,20.0,2,c-6,4993984,9145.0
17304161,17304161,2021-08-05 22:18:01.820824+00:00,x,y,2021-08-16 10:35:00+00:00,2021-08-16 12:35:00+00:00,omega,True,20.0,1,d-3,17304161,6870.0
3310142,3310142,2021-03-15 13:33:05.126977+00:00,x,y,2021-03-16 11:00:00+00:00,2021-03-16 13:00:00+00:00,gamma,True,0.0,0,c-4,3310142,10040.0
13525124,13525124,2021-07-08 16:45:35.758478+00:00,x,y,2021-08-11 14:00:00+00:00,2021-08-11 15:55:00+00:00,beta,True,40.0,0,b-9,13525124,8170.0
4069261,4069261,2021-03-30 18:37:17.605721+00:00,x,y,2021-04-10 05:00:00+00:00,2021-04-10 06:55:00+00:00,beta,True,20.0,0,b-1,4069261,8936.0
18789832,18789832,2021-08-13 03:31:02.376813+00:00,x,y,2021-08-31 17:00:00+00:00,2021-08-31 18:59:00+00:00,gamma,True,20.0,1,c-6,18789832,7765.0
12934352,12934352,2021-07-05 12:38:30.203997+00:00,x,y,2021-07-24 16:00:00+00:00,2021-07-24 18:00:00+00:00,alpha,True,15.0,1,a-23,12934352,14945.0
7946952,7946952,2021-05-28 12:43:31.342931+00:00,x,y,2021-06-06 05:00:00+00:00,2021-06-06 06:55:00+00:00,beta,True,20.0,0,b-1,7946952,7458.0
9824024,9824024,2021-06-14 10:05:27.933613+00:00,x,y,2021-06-21 04:00:00+00:00,2021-06-21 06:00:00+00:00,alpha,True,35.0,1,a-1,9824024,7124.0
9746001,9746001,2021-06-13 19:01:24.467175+00:00,x,y,2021-07-26 16:00:00+00:00,2021-07-26 18:00:00+00:00,alpha,True,15.0,1,a-23,9746001,6531.0
5486675,5486675,2021-04-25 06:08:55.889677+00:00,x,y,2021-05-02 11:00:00+00:00,2021-05-02 13:00:00+00:00,gamma,True,20.0,1,c-4,5486675,7640.0
